,Unnamed: 0,rsu,TR,weights,n_veh,n_buses,n_sav,n_chs,stab_eval,connected_componentes
23,23,no,500,[0.2 0.2 0.6],49,5,0.1,10.6,0.5536834478051745,10.6
24,24,no,500,[0.2 0.3 0.5],49,5,0.1,10.6,0.5550266404494638,10.6
25,25,no,500,[0.2 0.4 0.4],49,5,0.1,10.6,0.5549961249999277,10.6
26,26,no,500,[0.2 0.5 0.3],49,5,0.1,10.6,0.5422842605931482,10.6
27,27,no,500,[0.2 0.6 0.2],49,5,0.1,10.6,0.5465004358520934,10.6
28,28,no,500,[0.2 0.7 0.1],49,5,0.1,10.6,0.5352010008238449,10.6
29,29,no,500,[0.2 0.8 0. ],49,5,0.1,10.6,0.5322850175907485,10.6
30,30,no,500,[0.3 0.  0.7],49,5,0.1,10.6,0.5550787122433415,10.6
31,31,no,500,[0.3 0.1 0.6],49,5,0.1,10.6,0.5692201709690164,10.6
32,32,no,500,[0.3 0.2 0.5],49,5,0.1,10.6,0.5649828828334232,10.6
33,33,no,500,[0.3 0.3 0.4],49,5,0.1,10.6,0.5549961249999277,10.6
34,34,no,500,[0.3 0.4 0.3],49,5,0.1,10.6,0.5535625827447489,10.6
35,35,no,500,[0.3 0.5 0.2],49,5,0.1,10.6,0.5394382889594381,10.6
36,36,no,500,[0.3 0.6 0.1],49,5,0.1,10.6,0.540759593861935,10.6
37,37,no,500,[0.3 0.7 0. ],49,5,0.1,10.6,0.5286127012065678,10.6
